City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
153,Nikolskoye,RU,2020-02-23 21:43:53,59.7,30.79,37.4,86,90,8.95,light intensity shower rain,0.0,0.0
154,Half Moon Bay,US,2020-02-23 21:43:53,37.46,-122.43,64.4,58,75,4.7,broken clouds,0.0,0.0
155,Conceicao Do Araguaia,BR,2020-02-23 21:43:53,-8.26,-49.26,80.04,90,99,3.13,moderate rain,3.06,0.0
156,Butaritari,KI,2020-02-23 21:43:53,3.07,172.79,84.88,77,76,12.91,moderate rain,6.0,0.0
157,Honiara,SB,2020-02-23 21:43:53,-9.43,159.95,80.6,83,40,2.24,scattered clouds,0.0,0.0
158,Broken Hill,AU,2020-02-23 21:43:53,-31.95,141.43,69.8,64,44,6.93,scattered clouds,0.0,0.0
159,Obregon,NI,2020-02-23 21:43:53,11.96,-85.96,91.4,43,75,16.11,broken clouds,0.0,0.0
160,Kholmogory,RU,2020-02-23 21:43:53,64.22,41.66,33.8,83,90,8.95,overcast clouds,0.0,0.0
161,Luena,AO,2020-02-23 21:43:53,-11.78,19.92,67.39,91,100,6.73,moderate rain,6.5,0.0
162,Leningradskiy,RU,2020-02-23 21:43:53,69.38,178.42,-14.89,72,100,5.88,overcast clouds,0.0,0.0
163,College,US,2020-02-23 21:43:53,64.86,-147.8,-0.4,76,1,1.43,clear sky,0.0,0.0
164,Insar,RU,2020-02-23 21:43:53,53.87,44.37,30.33,96,100,14.94,light snow,0.0,1.25
165,Cherskiy,RU,2020-02-23 21:43:53,68.75,161.3,-27.56,89,48,6.17,scattered clouds,0.0,0.0
166,Nanortalik,GL,2020-02-23 21:43:54,60.14,-45.24,27.72,79,100,1.72,light snow,0.0,0.94
167,Dunedin,NZ,2020-02-23 21:39:10,-45.87,170.5,56.26,78,46,3.38,scattered clouds,0.0,0.0
168,Hasaki,JP,2020-02-23 21:43:54,35.73,140.83,34.0,33,20,1.12,few clouds,0.0,0.0
169,Lavrentiya,RU,2020-02-23 21:43:54,65.58,-171.0,-7.56,75,0,5.14,clear sky,0.0,0.0
170,Georgetown,MY,2020-02-23 21:43:54,5.41,100.34,78.8,78,20,2.24,few clouds,0.0,0.0
171,Castro,BR,2020-02-23 21:43:54,-24.79,-50.01,67.93,78,90,2.66,overcast clouds,0.0,0.0
172,Vostok,RU,2020-02-23 21:43:54,46.49,135.88,5.68,92,100,3.89,overcast clouds,0.0,0.0
173,Saskylakh,RU,2020-02-23 21:43:54,71.92,114.08,5.74,91,100,8.63,overcast clouds,0.0,0.0
174,Comodoro Rivadavia,AR,2020-02-23 21:43:54,-45.87,-67.5,66.2,59,4,13.87,clear sky,0.0,0.0
175,Touros,BR,2020-02-23 21:40:14,-5.2,-35.46,82.4,83,20,11.41,few clouds,0.0,0.0
176,Port Alfred,ZA,2020-02-23 21:43:54,-33.59,26.89,60.01,83,50,2.01,scattered clouds,0.0,0.0
177,Merauke,ID,2020-02-23 21:43:54,-8.47,140.33,75.51,98,100,4.9,light rain,1.38,0.0
178,Hornepayne,CA,2020-02-23 21:43:54,49.21,-84.77,31.87,94,100,6.29,light snow,0.0,0.5
179,Namibe,AO,2020-02-23 21:43:54,-15.2,12.15,74.35,78,100,7.16,overcast clouds,0.0,0.0
180,Ambon,ID,2020-02-23 21:43:50,-3.7,128.18,80.82,80,100,9.48,light rain,0.44,0.0
181,Anadyr,RU,2020-02-23 21:43:54,64.75,177.48,-20.0,75,0,2.24,clear sky,0.0,0.0
182,Cacoal,BR,2020-02-23 21:43:54,-11.44,-61.45,70.41,99,100,1.77,light rain,3.0,0.0
183,Khatanga,RU,2020-02-23 21:43:54,71.97,102.5,14.29,91,96,15.57,light snow,0.0,0.25
184,Havelock,US,2020-02-23 21:43:55,34.88,-76.9,61.0,24,1,10.29,clear sky,0.0,0.0
185,Acarau,BR,2020-02-23 21:42:25,-2.89,-40.12,78.28,88,7,5.28,clear sky,0.0,0.0
186,Clarence Town,AU,2020-02-23 21:43:55,-32.58,151.78,72.0,83,75,4.7,light rain,0.0,0.0
187,Tila,MX,2020-02-23 21:43:55,17.4,-92.48,78.8,61,75,5.82,broken clouds,0.0,0.0
188,Afua,BR,2020-02-23 21:43:55,-0.16,-50.39,81.63,85,54,7.09,broken clouds,0.0,0.0
189,Kaitangata,NZ,2020-02-23 21:43:55,-46.28,169.85,63.0,64,100,11.99,overcast clouds,0.0,0.0
